NOBILIS,NOMBRE,SEXO*,NIVEL,EMERITO,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ESTADO,,,,,,,,,,,
DR.,"GARZA PEREZ,JOAQUIN RODRIGO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE CIENCIAS,YUCATAN,,,,,,,,,,,
DR.,"ZARAGOZA MARTINEZ,FRANCISCO JAVIER",H,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD AZCAPOTZALCO,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"BAPTISTA LUCIO,MARIA DEL PILAR",M,1,,UNIVERSIDAD PANAMERICANA,CAMPUS DISTRITO FEDERAL,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"RODRIGUEZ CRUZ,LEONOR",M,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"VANEGAS ESPINOZA,PABLO EMILIO",H,1,,INSTITUTO POLITECNICO NACIONAL,CENTRO DE DESARROLLO DE PRODUCTOS BIOTICOS,MORELOS,,,,,,,,,,,
DR.,"ZANELLA SPECIA,RODOLFO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE CIENCIAS APLICADAS Y DESARROLLO TECNOLOGICO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GUTIERREZ PULIDO,JORGE RAFAEL",H,1,,UNIVERSIDAD DE COLIMA,CAMPUS COLIMA,COLIMA,,,,,,,,,,,
DR.,"ERQUIZIO ESPINAL,OSCAR ALFREDO",H,1,,UNIVERSIDAD DE SONORA,UNIDAD REGIONAL CENTRO (HERMOSILLO),SONORA,,,,,,,,,,,
DRA.,"ALVAREZ CONTRERAS,LORENA",M,2,,"CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS, S.C.",DEPTO. DE MATERIALES NANOESTRUCTURADOS,CHIHUAHUA,,,,,,,,,,,
DRA.,"RANGEL GOMEZ,MARIA GUDELIA",M,1,,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",CENTRO DE ESTUDIOS FRONTERIZOS DEL NORTE DE MEXICO-TIJUANA,BAJA CALIFORNIA,,,,,,,,,,,
DRA.,"GARCIA LOPEZ,ESPERANZA",M,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD CUAJIMALPA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"LEMUS VIDAL,MONICA",M,1,,UNIVERSIDAD DE COLIMA,CAMPUS COLIMA,COLIMA,,,,,,,,,,,
DR.,"HERNANDEZ ANDRADE,EDGAR ARMANDO",H,2,,INSTITUTO NACIONAL DE PERINATOLOGIA,INSTITUTO NACIONAL DE PERINATOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GARCIA LOPEZ,JUAN HUGO",H,2,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE LOS LAGOS,JALISCO,,,,,,,,,,,
DR.,"PATIÐO DIAZ,RODRIGO TARKUS",H,1,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,UNIDAD MERIDA,YUCATAN,,,,,,,,,,,
DR.,"NUÐEZ GONZALEZ,ROBERTO",H,1,,UNIVERSIDAD DE SONORA,UNIDAD REGIONAL CENTRO (HERMOSILLO),SONORA,,,,,,,,,,,
DRA.,"RAMIREZ MONTOYA,MARIA SOLEDAD",M,1,,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS MONTERREY,NUEVO LEON,,,,,,,,,,,
DR.,"VARGAS CASILLAS,ALEJANDRO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INGENIERIA,QUERETARO,,,,,,,,,,,
DR.,"ALATRISTE MONDRAGON,FELIPE",H,1,,"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",DEPTO. DE INGENIERIA AMBIENTAL Y MANEJO DE RECURSOS NATURALES,SAN LUIS POTOSI,,,,,,,,,,,
DR.,"RUSSO,JUAN JOSE",H,2,,UNIVERSIDAD DE GUANAJUATO,CAMPUS GUANAJUATO,GUANAJUATO,,,,,,,,,,,
DR.,"GONZALEZ ROMO,ADRIAN",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,INSTITUTO DE CIENCIAS ECONOMICO ADMINISTRATIVAS,HIDALGO,,,,,,,,,,,
DR.,"MOLINA HERNANDEZ,ANAYANSI",M,1,,INSTITUTO NACIONAL DE PERINATOLOGIA,SUBDIRECCION DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MARTINEZ CAMPOS,ANGEL ROBERTO",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,INSTITUTO DE CIENCIAS AGROPECUARIAS Y RURALES,"M?XICO, EDO. DE",,,,,,,,,,,
MTRO.,"FAJARDO DOLCI,GERMAN ENRIQUE",H,1,,INSTITUTO MEXICANO DEL SEGURO SOCIAL,DIRECCION DE PRESTACIONES MEDICAS.,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"CHAVARRIA KRAUSER,ANAHI",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE MEDICINA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"REYES VALDES,FELIPE ARTURO",H,1,,"CORPORACION MEXICANA DE INVESTIGACION EN MATERIALES, S.A. DE",DIRECCION DE TRANSFERENCIA DE TECNOLOGIA,COAHUILA,,,,,,,,,,,
DR.,"GARCIA REYNOSO,JOSE AGUSTIN",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE CIENCIAS DE LA ATMOSFERA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"PEÐA RAMOS,ETNA AIDA",M,1,,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",DIRECCION DE CIENCIA DE LOS ALIMENTOS,SONORA,,,,,,,,,,,
DR.,"PEREZ CORREA FERNANDEZ DEL CASTILLO,FERNAN",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PRIETO GONZ?LEZ,JOSE MANUEL",H,1,,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE ARQUITECTURA,NUEVO LEON,,,,,,,,,,,
DR.,"SANCHEZ GONZALEZ,DOLORES JAVIER",H,1,,UNIVERSIDAD DEL EJERCITO Y FUERZA AEREA,ESCUELA MEDICO MILITAR,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"CARDENAS MANRIQUEZ,MARCELA",M,1,,INSTITUTO TECNOLOGICO DE CELAYA,INSTITUTO TECNOLOGICO DE CELAYA,GUANAJUATO,,,,,,,,,,,
DRA.,"CACERES SANCHEZ,ELENA MAFALDA",M,2,,UNIVERSIDAD DE COLIMA,CAMPUS COLIMA,COLIMA,,,,,,,,,,,
DR.,"VILLALOBOS HIRIART,JOSE LUIS",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GARCIA ISLAS,JUAN MANUEL",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES EN MATEMATICAS APLICADAS..IIMAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"FONSECA HERNANDEZ,CARLOS",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,UNIDAD ACADEMICA PRIOFESIONAL NEZAHUALCOYOTL,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"POSADA GOMEZ,RUBEN",H,1,,INSTITUTO TECNOLOGICO DE ORIZABA,INSTITUTO TECNOLOGICO DE ORIZABA,VERACRUZ,,,,,,,,,,,
DR.,"ENRIQUEZ PEREA,ALBERTO DONATO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"RAMOS ORGANILLO,ANGEL ANDRES",H,1,,UNIVERSIDAD DE COLIMA,CAMPUS COQUIMATLAN,COLIMA,,,,,,,,,,,
M. EN C.,"HUERTA JIMENEZ,HERON",H,1,,SECRETARIA DE SALUD,INSTITUTO NAL. DE DIAGNOSTICO Y REFERENCIA EPIDEMIOLOGICOS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"RUIZ PIÐA,HUGO ANTONIO",H,1,,UNIVERSIDAD AUTONOMA DE YUCATAN,CENTRO DE INVESTIGACIONES REGIONALES DR. HIDEYO NOGUCHI,YUCATAN,,,,,,,,,,,
DR.,"MORA VARGAS,JAIME",H,1,,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS ESTADO DE MEXICO,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"GALVEZ RUIZ,JUAN CARLOS",H,2,,UNIVERSIDAD DE SONORA,UNIDAD REGIONAL CENTRO (HERMOSILLO),SONORA,,,,,,,,,,,
DRA.,"LEON FELIX,JOSEFINA",M,1,,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",UNIDAD CULIACAN,SINALOA,,,,,,,,,,,
DR.,"BASAIL RODRIGUEZ,ALAIN",H,1,,UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS,CENTRO DE ESTUDIOS SUPERIORES MEXICO-CENTROAMERICA,CHIAPAS,,,,,,,,,,,
DR.,"RUIZ MARINES,ALBERTO",H,2,,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,INSTITUTO DE INVESTIGACIONES METALURGICAS,MICHOACAN,,,,,,,,,,,
DR.,"SHESEÐA HERNANDEZ,ALEJANDRO",H,1,,UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS,FACULTAD DE CIENCIAS DE LA NUTRICION Y ALIMENTOS,CHIAPAS,,,,,,,,,,,
DRA.,"ROJAS MARTINEZ,MARIA ROSALBA",M,2,,INSTITUTO NACIONAL DE SALUD PUBLICA,CENTRO DE ESTUDIOS DE ADMINISTRACION ESTATAL Y MUNICIPAL,MORELOS,,,,,,,,,,,
DRA.,"ORTIZ BUTRON,MARIA DEL ROCIO ELIZABETH",M,1,,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
MED.,"ILIZALITURRI SANCHEZ,VICTOR MANUEL",H,2,,INSTITUTO NACIONAL DE REHABILITACION,INSTITUTO NACIONAL DE REHABILITACION,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"TORRES ESTRADA,PEDRO RUBEN",H,2,,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS MONTERREY,NUEVO LEON,,,,,,,,,,,
DR.,"DE LA CRUZ LAZARO,EFRAIN",H,1,,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,DIVISION ACADEMICA DE CIENCIAS AGROPECUARIAS,TABASCO,,,,,,,,,,,
DRA.,"SEPULVEDA JIMENEZ,GABRIELA",M,1,,INSTITUTO POLITECNICO NACIONAL,CENTRO DE DESARROLLO DE PRODUCTOS BIOTICOS,MORELOS,,,,,,,,,,,
DRA.,"HERNANDEZ SALAZAR,LAURA TERESA",M,1,,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,VERACRUZ,,,,,,,,,,,
DRA.,"GAVITO PARDO,MAYRA ELENA",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE INVESTIGACIONES EN ECOSISTEMAS,MICHOACAN,,,,,,,,,,,
DR.,"LARA FLORES,MAURILIO",H,1,,UNIVERSIDAD AUTONOMA DE CAMPECHE,"PROGRAMA DE ECOLOGIA, PESQUERIAS Y OCEANOGRAFIA DEL...EPOMEX",CAMPECHE,,,,,,,,,,,
DRA.,"DE NOVA OCAMPO,MONICA ASCENCION",M,1,,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE MEDICINA Y HOMEOPATIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GARCIA BELTRAN,CARLOS DANIEL",H,1,,CENTRO NACIONAL DE INVESTIGACION Y DESARROLLO TECNOLOGICO,CENTRO NACIONAL DE INVESTIGACION Y DESARROLLO TECNOLOGICO,MORELOS,,,,,,,,,,,
DR.,"RENDON VON OSTEN,JAIME",H,1,,UNIVERSIDAD AUTONOMA DE CAMPECHE,"PROGRAMA DE ECOLOGIA, PESQUERIAS Y OCEANOGRAFIA DEL...EPOMEX",CAMPECHE,,,,,,,,,,,
QUIM.,"FLORES PEREZ,ANA MARIA DEL CARMEN",M,1,,INSTITUTO NACIONAL DE PEDIATRIA,INSTITUTO NACIONAL DE PEDIATRIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"HERRERA ARELLANO,ARMANDO",H,2,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE MEDICINA,MORELOS,,,,,,,,,,,
DR.,"IGLESIAS MENDOZA,ARTURO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE GEOFISICA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"DEPETRIS,MARIA CAROLINA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO PENINSULAR EN HUMANIDADES Y CIENCIAS SOCIALES,YUCATAN,,,,,,,,,,,
DRA.,"GUTIERREZ RODRIGUEZ,CARLA",M,2,,"INSTITUTO DE ECOLOGIA, A.C.",RED DE BIOLOGIA EVOLUTIVA,VERACRUZ,,,,,,,,,,,
DRA.,"MERCADO FLORES,YURIDIA",M,1,,UNIVERSIDAD POLITECNICA DE PACHUCA,UNIVERSIDAD POLITECNICA DE PACHUCA,HIDALGO,,,,,,,,,,,
DR.,"VERA MARTINEZ,JORGE LUIS GRACIANO",H,1,,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS CIUDAD DE MEXICO,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ANGULO VILLANUEVA,RITA GUADALUPE",M,1,,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,FACULTAD DE CIENCIAS,SAN LUIS POTOSI,,,,,,,,,,,
DR.,"OCHOA DE LA PAZ,LENIN DAVID",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE MEDICINA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MORISSET,CHRISTOPHE ROGER JAQUES",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ASTRONOMIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MENDEZ SILVA,RICARDO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES JURIDICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ESPARZA GARCIA,FERNANDO JOSE",H,3,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE BIOTECNOLOGIA Y BIOINGENIERIA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ESCALANTE GONZALBO,MARIA DE LA PALOMA",M,1,,ESCUELA NACIONAL DE ANTROPOLOGIA E HISTORIA,DIVISION DE ESTUDIOS DE POSGRADO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ENCISO AGUILAR,MAURO ALBERTO",H,1,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE INGENIERIA MECANICA Y ELECTRICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ORDUÐA TRUJILLO,OSCAR VLADIMIR",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE PSICOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ORTEGA ALFARO,MARIA DEL CARMEN VIRGINIA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS NUCLEARES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"OCHOA DOMINGUEZ,HUMBERTO DE JESUS",H,1,,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,CHIHUAHUA,,,,,,,,,,,
DR.,"BALLESTEROS LEINER,ARTURO",H,1,,UNIVERSIDAD PEDAGOGICA NACIONAL,UNIDAD AJUSCO,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"PORTER BOLLAND,LUCIANA",M,1,,"INSTITUTO DE ECOLOGIA, A.C.",RED DE ECOLOGIA FUNCIONAL,VERACRUZ,,,,,,,,,,,
DR.,"VIVERO AVILA,RANULFO IGOR",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,FACULTAD DE CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"BELTRAN MORALES,FELIX ALFREDO",H,1,,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,AREA INTERDISCIPLINARIA DE CIENCIAS AGROPECUARIAS,BAJA CALIFORNIA SUR,,,,,,,,,,,
DR.,"JUAREZ LOPEZ,FERNANDO",H,1,,INSTITUTO POLITECNICO NACIONAL,CENTRO DE INVESTIGACION E INNOVACION TECNOLOGICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"NAVARRETE VAZQUEZ,JUAN GABRIEL",H,2,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE FARMACIA,MORELOS,,,,,,,,,,,
DR.,"JIMENEZ DORANTES,MANUEL",H,1,,UNIVERSIDAD AUTONOMA DE CHIAPAS,CAMPUS III SAN CRISTOBAL DE LAS CASAS,CHIAPAS,,,,,,,,,,,
DRA.,"NARVAEZ HERNANDEZ,LILIA",M,1,,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,FACULTAD DEL HABITAT,SAN LUIS POTOSI,,,,,,,,,,,
DR.,"RAMOS BANDERAS,JOSE ANGEL",H,1,,INSTITUTO TECNOLOGICO DE MORELIA,INSTITUTO TECNOLOGICO DE MORELIA,MICHOACAN,,,,,,,,,,,
DR.,"RODRIGUEZ VARELA,FRANCISCO JAVIER",H,1,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,UNIDAD SALTILLO,COAHUILA,,,,,,,,,,,
DRA.,"MIRANDA VIDALES,JUANA MARIA",M,2,,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,INSTITUTO DE METALURGIA,SAN LUIS POTOSI,,,,,,,,,,,
DR.,"RAMIREZ SUAREZ,JUAN CARLOS",H,1,,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",DIRECCION DE TECNOLOGIA DE ALIMENTOS DE ORIGEN ANIMAL,SONORA,,,,,,,,,,,
DRA.,"RIQUELME PEREZ,MERITXELL",M,2,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",UNIDAD DE BIOLOGIA EXPERIMENTAL Y APLICADA,BAJA CALIFORNIA,,,,,,,,,,,
DRA.,"DOMINGUEZ DOMINGUEZ,MARIVEL",M,1,,COLEGIO DE POSTGRADUADOS EN CIENCIAS AGRICOLAS,CAMPUS TABASCO,TABASCO,,,,,,,,,,,
DR.,"GORROSTIETA HURTADO,EFREN",H,1,,UNIVERSIDAD AUTONOMA DE QUERETARO,CAMPUS JURIQUILLA,QUERETARO,,,,,,,,,,,
DR.,"LOPEZ LEYVA,MIGUEL ARMANDO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES SOCIALES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ORTEGA SANCHEZ,JOAQUIN",H,1,,"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.",AREA DE PROBABILIDAD Y ESTADISTICA,GUANAJUATO,,,,,,,,,,,
DRA.,"MOO PUC,ROSA ESTHER",M,1,,INSTITUTO MEXICANO DEL SEGURO SOCIAL,CENTRO MEDICO NACIONAL IGNACIO GARCIA TELLEZ MERIDA YUCATAN,YUCATAN,,,,,,,,,,,
DR.,"CONDON,BRADLY JOHN",H,2,,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,"DIVISION ACADEMICA DE ECONOMIA, DERECHO Y CIENCIAS SOCIALES",DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PINTO RUIZ,RENE",H,1,,UNIVERSIDAD AUTONOMA DE CHIAPAS,CAMPUS V VILLAFLORES,CHIAPAS,,,,,,,,,,,
DRA.,"GARCIA GAITAN,BEATRIZ",M,1,,INSTITUTO TECNOLOGICO DE TOLUCA,INSTITUTO TECNOLOGICO DE TOLUCA,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"CHIGO ANOTA,ERNESTO",H,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,FACULTAD DE INGENIERIA QUIMICA,PUEBLA,,,,,,,,,,,
DR.,"SOTO GARCIA,VICTOR MANUEL",H,1,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERIAS,JALISCO,,,,,,,,,,,
DR.,"MARTINEZ CASTILLO,JAIME",H,1,,UNIVERSIDAD VERACRUZANA,CAMPUS VERACRUZ,VERACRUZ,,,,,,,,,,,
DRA.,"HADATTY MORA,YANNA CELINA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES FILOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"PEREZ FUENTES,GISELA MARIA",M,2,,UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO,DIVISION ACADEMICA DE CIENCIAS SOCIALES Y HUMANIDADES,TABASCO,,,,,,,,,,,
DRA.,"MARTINEZ ORTIZ,MARIA DE JESUS",M,1,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE ING. QUIMICA E INDUSTRIAS EXTRACTIVAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"SANDOVAL RODRIGUEZ,ANA SOLEDAD",M,1,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS DE LA SALUD,JALISCO,,,,,,,,,,,
DR.,"RIVERA ISLAS,MARCO ANTONIO",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE CIENCIAS,MORELOS,,,,,,,,,,,
DRA.,"GANTUS INURRETA,FAUSTA ESTELA",M,1,,INSTITUTO DE INVESTIGACIONES DR. JOSE MARIA LUIS MORA,COORDINACION DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ROMERO MORENO,RAMONA ALICIA",M,1,,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,CAMPUS MEXICALI,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"GALVEZ GASTELUM,FRANCISCO JAVIER",H,1,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS DE LA SALUD,JALISCO,,,,,,,,,,,
DR.,"GONZALEZ CERVERA,JOSE ANTONIO",H,2,,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,ESCUELA DE CIENCIAS FISICO MATEMATICAS,MICHOACAN,,,,,,,,,,,
DR.,"ZOLOTUKHIN,MIKHAIL",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES EN MATERIALES,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"MARTINEZ MARTINEZ,KALINA ISELA",M,1,,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,CENTRO DE CIENCIAS SOCIALES Y HUMANIDADES,AGUASCALIENTES,,,,,,,,,,,
DRA.,"DURIN,SEVERINE",M,1,,CENTRO DE INVESTIGACION Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,PROGRAMA NORESTE,NUEVO LEON,,,,,,,,,,,
DRA.,"MANZANARES MARTINEZ,MARIA BETSABE",M,1,,UNIVERSIDAD DE SONORA,UNIDAD REGIONAL CENTRO (HERMOSILLO),SONORA,,,,,,,,,,,
DR.,"CAMPOS TERAN,JOSE",H,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD CUAJIMALPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JUAREZ ARELLANO,ERICK ADRIAN",H,2,,UNIVERSIDAD DEL PAPALOAPAN,CAMPUS TUXTEPEC,OAXACA,,,,,,,,,,,
DR.,"MARTINEZ HERNANDEZ,JOSE LUIS",H,1,,UNIVERSIDAD AUTONOMA DE COAHUILA,UNIDAD SALTILLO,COAHUILA,,,,,,,,,,,
DRA.,"MACHUCA GALLEGOS,LAURA OLIVIA",M,1,,CENTRO DE INVESTIGACION Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,PROGRAMA PENINSULAR,YUCATAN,,,,,,,,,,,
DR.,"DE ALBUQUERQUE SALLES,SEVERO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"CORDOVA VIANELLO,LORENZO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES JURIDICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MARTINEZ RUVALCABA,AGUSTIN",H,1,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS EXACTAS E INGENIERIAS,JALISCO,,,,,,,,,,,
M. EN C.,"VASQUEZ VELASQUEZ,ANA ISABEL",M,1,,INSTITUTO MEXICANO DEL SEGURO SOCIAL,CENTRO DE INVESTIGACION BIOMEDICA DE OCCIDENTE,JALISCO,,,,,,,,,,,
DR.,"ESCALANTE HERNANDEZ,ALBERTO",H,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,INSTITUTO DE FISICA LUIS RIVERA TERRAZAS,PUEBLA,,,,,,,,,,,
DRA.,"PARDO LOPEZ,LILIANA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOTECNOLOGIA,MORELOS,,,,,,,,,,,
DR.,"GONZALEZ BARRIOS,JUAN ANTONIO",H,1,,INSTITUTO DE SEGURIDAD Y SERV. SOCIALES DE LOS TRABAJADORES AL SERVICIO DEL EDO.,HOSPITAL REGIONAL 1 DE OCTUBRE,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PECH POOL,DANIEL G.",H,1,,EL COLEGIO DE LA FRONTERA SUR,UNIDAD CAMPECHE,CAMPECHE,,,,,,,,,,,
DRA.,"SUMAYA MARTINEZ,MARIA TERESA",M,1,,UNIVERSIDAD AUTONOMA DE NAYARIT,UNIDAD ACADEMICA DE AGRICULTURA,NAYARIT,,,,,,,,,,,
DRA.,"MONTOYA ESQUIVEL,ADRIANA",M,1,,UNIVERSIDAD AUTONOMA DE TLAXCALA,CENTRO DE INVESTIGACION EN CIENCIAS BIOLOGICAS,TLAXCALA,,,,,,,,,,,
